m,e,t,r,i,c
k
s,q,u,a,r,e,d,_,e,r,r,o,r,_,u,s,e,r
t,i,m,e,_,u,s,e,r
s,q,u,a,r,e,d,_,e,r,r,o,r,_,m,o,v,i,e
t,i,m,e,_,m,o,v,i,e
s,q,u,a,r,e,d,_,e,r,r,o,r,_,a,v,e,r,a,g,e
t,o,t,a,l,_,t,i,m,e
pearson,"[1, 0.04606473595621965, 0.7279999256134033, 0.03345361623400012, 0.06099987030029297, 0.032471800100916985, 1.7060000896453857]","[3, 0.04297823334859008, 0.5859999656677246, 0.028942782352399225, 0.048999786376953125, 0.030276707008266793, 1.5980000495910645]","[5, 0.04218929710970203, 0.6310009956359863, 0.028158148718222607, 0.11799955368041992, 0.02975804365346338, 1.6579999923706055]","[10, 0.041542290559183674, 0.8289997577667236, 0.027467335678878296, 0.09400033950805664, 0.029198091727894955, 1.7070000171661377]","[15, 0.041297903325645854, 0.5320014953613281, 0.02738626601431963, 0.0429997444152832, 0.029053325418001364, 1.6499998569488525]","[25, 0.041033462294504025, 0.827000617980957, 0.02737881098582489, 0.051999807357788086, 0.028908668063105852, 1.7420001029968262]","[50, 0.0409040264048817, 0.7940001487731934, 0.02737999998294245, 0.07199978828430176, 0.028857217557165957, 1.7829999923706055]"
minkowski_distance,"[1, 0.02970371303306859, 1.3399991989135742, 0.030803033647632056, 0.07000041007995605, 0.0258008745679953, 2.3389999866485596]","[3, 0.025257083846385663, 1.182999610900879, 0.027183406451745967, 0.09399986267089844, 0.023589337773257783, 2.0879998207092285]","[5, 0.02434193964579059, 1.382000207901001, 0.026453349706507864, 0.03899979591369629, 0.023148607985519, 2.4640002250671387]","[10, 0.023268965917998263, 1.288999319076538, 0.026377954904677623, 0.026000261306762695, 0.022845432859696795, 2.2860000133514404]","[15, 0.02317126420025045, 1.3289997577667236, 0.02633577045759506, 0.052999258041381836, 0.022864481118132093, 2.25]","[25, 0.023132271047045676, 1.1589996814727783, 0.026384776989015854, 0.09400010108947754, 0.022895335995237263, 2.1609997749328613]","[50, 0.023269326894574786, 1.3870012760162354, 0.026381688447889684, 0.09300088882446289, 0.02296636339386217, 2.499000072479248]"
euclidean_distance,"[1, 0.029918833260081566, 1.2050001621246338, 0.030672028579134838, 0.03399991989135742, 0.025933483288451027, 2.134999990463257]","[3, 0.025274136593920467, 1.153998613357544, 0.02697595956178535, 0.13000082969665527, 0.023570187371694397, 2.1449999809265137]","[5, 0.024299013759330957, 1.314000129699707, 0.02643462545547929, 0.0820000171661377, 0.02319267711003621, 2.259000062942505]","[10, 0.023379074976549636, 1.1509995460510254, 0.026354310784310175, 0.0709998607635498, 0.022921991067437513, 2.11899995803833]","[15, 0.02310767103975951, 1.263000726699829, 0.026332196226856168, 0.034999847412109375, 0.022847592333624413, 2.302000045776367]","[25, 0.023127535696159184, 1.1569995880126953, 0.02638419816757719, 0.029999971389770508, 0.02290944384307073, 2.138000011444092]","[50, 0.02326514766630836, 1.3650000095367432, 0.026381688447889684, 0.05099987983703613, 0.02297118013216205, 2.300999879837036]"
standardized_euclidean_distance,"[1, 0.04182950112259226, 0.8649990558624268, 0.03143564485233896, 0.07700085639953613, 0.029815219022737004, 2.0470001697540283]","[3, 0.03817072042482228, 0.9650003910064697, 0.027157791066752597, 0.06100010871887207, 0.027533464785199736, 2.0399999618530273]","[5, 0.03730421301763605, 0.8020000457763672, 0.026721377195401158, 0.11599969863891602, 0.027153882215633248, 1.7619998455047607]","[10, 0.03660036114230447, 0.9199998378753662, 0.02659129160301656, 0.0820000171661377, 0.026905615725837405, 1.9470000267028809]","[15, 0.03642696107748776, 0.6779999732971191, 0.026552515131360484, 0.10199999809265137, 0.026855994662769077, 1.821000099182129]","[25, 0.03642097800885014, 1.0290005207061768, 0.026572182092666898, 0.09099984169006348, 0.026921433624734387, 2.2139999866485596]","[50, 0.03644269669017503, 0.9259986877441406, 0.026561471086629974, 0.04700040817260742, 0.026935791897383706, 1.9709999561309814]"
normalized_euclidean_distance,"[1, 0.041743843351220895, 1.0659995079040527, 0.03099128554693852, 0.042999982833862305, 0.02950724775366488, 2.1629998683929443]","[3, 0.03802065034624879, 0.7980000972747803, 0.027099150693730777, 0.05699944496154785, 0.027452094483969413, 1.819000005722046]","[5, 0.03718392118437323, 0.9259998798370361, 0.02658260087420787, 0.08300018310546875, 0.027030876149531178, 1.8310000896453857]","[10, 0.036504436528132504, 0.9800002574920654, 0.026532448447902802, 0.07999992370605469, 0.026831578652358013, 1.8859999179840088]","[15, 0.03636961516074747, 0.9370005130767822, 0.026539555922653793, 0.08299899101257324, 0.02684589518047955, 1.7899999618530273]","[25, 0.036367626806054085, 0.9160008430480957, 0.026567565868154345, 0.0820000171661377, 0.02687690514215598, 2.067000150680542]","[50, 0.036419984730202415, 1.1019997596740723, 0.026561471086629974, 0.10599994659423828, 0.026921138137850475, 2.365000009536743]"
manhattan_distance,"[1, 0.03062823570247942, 1.3049986362457275, 0.030579503395236306, 0.052000999450683594, 0.026138267832130777, 2.379999876022339]","[3, 0.02560957228590449, 1.5610008239746094, 0.026906455178361245, 0.14999985694885254, 0.023822289587819945, 2.8320000171661377]","[5, 0.024550098167472237, 1.60499906539917, 0.026277995513698593, 0.07500052452087402, 0.023297802043724128, 2.7150001525878906]","[10, 0.02352559255227085, 1.2879996299743652, 0.026245716712271397, 0.05300021171569824, 0.022980151784675072, 2.485999822616577]","[15, 0.023265786731394983, 1.4500000476837158, 0.026291713145446628, 0.0820000171661377, 0.022947591921368905, 2.4780001640319824]","[25, 0.023175865011004135, 1.4500031471252441, 0.026370338837329282, 0.10399985313415527, 0.022976242144574284, 2.4789998531341553]","[50, 0.023295536359177273, 1.3709990978240967, 0.026381688447889684, 0.11100006103515625, 0.023002402884479394, 2.384000062942505]"
